"dataset_id","dataset_name","original_code","original_name","standardized_code","standardized_name"
2,"Statistical Performance Indicators (SPI)","ARG","Argentina","ARG","Argentina"
2,"Statistical Performance Indicators (SPI)","ECU","Ecuador","ECU","Ecuador"
2,"Statistical Performance Indicators (SPI)","UKR","Ukraine","UKR","Ukraine"
2,"Statistical Performance Indicators (SPI)","BLR","Belarus","BLR","Belarus"
2,"Statistical Performance Indicators (SPI)","MUS","Mauritius","MUS","Mauritius"
2,"Statistical Performance Indicators (SPI)","JOR","Jordan","JOR","Jordan"
2,"Statistical Performance Indicators (SPI)","ARE","United Arab Emirates","ARE","United Arab Emirates"
2,"Statistical Performance Indicators (SPI)","SEN","Senegal","SEN","Senegal"
2,"Statistical Performance Indicators (SPI)","KGZ","Kyrgyz Republic","KGZ","Kyrgyz Republic"
2,"Statistical Performance Indicators (SPI)","PER","Peru","PER","Peru"
2,"Statistical Performance Indicators (SPI)","TUN","Tunisia","TUN","Tunisia"
2,"Statistical Performance Indicators (SPI)","PRY","Paraguay","PRY","Paraguay"
2,"Statistical Performance Indicators (SPI)","MAR","Morocco","MAR","Morocco"
2,"Statistical Performance Indicators (SPI)","MNE","Montenegro","MNE","Montenegro"
2,"Statistical Performance Indicators (SPI)","SLV","El Salvador","SLV","El Salvador"
2,"Statistical Performance Indicators (SPI)","BFA","Burkina Faso","BFA","Burkina Faso"
2,"Statistical Performance Indicators (SPI)","GTM","Guatemala","GTM","Guatemala"
2,"Statistical Performance Indicators (SPI)","DOM","Dominican Republic","DOM","Dominican Republic"
2,"Statistical Performance Indicators (SPI)","IND","India","IND","India"
2,"Statistical Performance Indicators (SPI)","RWA","Rwanda","RWA","Rwanda"
2,"Statistical Performance Indicators (SPI)","BOL","Bolivia","BOL","Bolivia"
2,"Statistical Performance Indicators (SPI)","VNM","Viet Nam","VNM","Vietnam"
2,"Statistical Performance Indicators (SPI)","PAN","Panama","PAN","Panama"
2,"Statistical Performance Indicators (SPI)","UGA","Uganda","UGA","Uganda"
2,"Statistical Performance Indicators (SPI)","BGD","Bangladesh","BGD","Bangladesh"
2,"Statistical Performance Indicators (SPI)","KEN","Kenya","KEN","Kenya"
2,"Statistical Performance Indicators (SPI)","TZA","Tanzania","TZA","Tanzania"
2,"Statistical Performance Indicators (SPI)","ZWE","Zimbabwe","ZWE","Zimbabwe"
2,"Statistical Performance Indicators (SPI)","BIH","Bosnia and Herzegovina","BIH","Bosnia & Herzegovina"
2,"Statistical Performance Indicators (SPI)","NER","Niger","NER","Niger"
2,"Statistical Performance Indicators (SPI)","CIV","Cote d'Ivoire","CIV","Côte d’Ivoire"
2,"Statistical Performance Indicators (SPI)","PAK","Pakistan","PAK","Pakistan"
2,"Statistical Performance Indicators (SPI)","MMR","Myanmar","MMR","Myanmar (Burma)"
2,"Statistical Performance Indicators (SPI)","GHA","Ghana","GHA","Ghana"
2,"Statistical Performance Indicators (SPI)","BEN","Benin","BEN","Benin"
2,"Statistical Performance Indicators (SPI)","GMB","Gambia, The","GMB","Gambia"
2,"Statistical Performance Indicators (SPI)","JAM","Jamaica","JAM","Jamaica"
2,"Statistical Performance Indicators (SPI)","AZE","Azerbaijan","AZE","Azerbaijan"
2,"Statistical Performance Indicators (SPI)","QAT","Qatar","QAT","Qatar"
2,"Statistical Performance Indicators (SPI)","TGO","Togo","TGO","Togo"
2,"Statistical Performance Indicators (SPI)","HND","Honduras","HND","Honduras"
2,"Statistical Performance Indicators (SPI)","MWI","Malawi","MWI","Malawi"
2,"Statistical Performance Indicators (SPI)","MDV","Maldives","MDV","Maldives"
2,"Statistical Performance Indicators (SPI)","BLZ","Belize","BLZ","Belize"
2,"Statistical Performance Indicators (SPI)","LBR","Liberia","LBR","Liberia"
2,"Statistical Performance Indicators (SPI)","KHM","Cambodia","KHM","Cambodia"
2,"Statistical Performance Indicators (SPI)","LCA","St. Lucia","LCA","St. Lucia"
2,"Statistical Performance Indicators (SPI)","NPL","Nepal","NPL","Nepal"
2,"Statistical Performance Indicators (SPI)","SYC","Seychelles","SYC","Seychelles"
2,"Statistical Performance Indicators (SPI)","WSM","Samoa","WSM","Samoa"
2,"Statistical Performance Indicators (SPI)","BWA","Botswana","BWA","Botswana"
2,"Statistical Performance Indicators (SPI)","BRN","Brunei Darussalam","BRN","Brunei"
2,"Statistical Performance Indicators (SPI)","BTN","Bhutan","BTN","Bhutan"
2,"Statistical Performance Indicators (SPI)","MLI","Mali","MLI","Mali"
2,"Statistical Performance Indicators (SPI)","IRN","Iran, Islamic Rep.","IRN","Iran, Islamic Rep."
2,"Statistical Performance Indicators (SPI)","DZA","Algeria","DZA","Algeria"
2,"Statistical Performance Indicators (SPI)","BRB","Barbados","BRB","Barbados"
2,"Statistical Performance Indicators (SPI)","ZMB","Zambia","ZMB","Zambia"
2,"Statistical Performance Indicators (SPI)","MRT","Mauritania","MRT","Mauritania"
2,"Statistical Performance Indicators (SPI)","KWT","Kuwait","KWT","Kuwait"
2,"Statistical Performance Indicators (SPI)","AGO","Angola","AGO","Angola"
2,"Statistical Performance Indicators (SPI)","TLS","Timor-Leste","TLS","Timor-Leste"
2,"Statistical Performance Indicators (SPI)","SLE","Sierra Leone","SLE","Sierra Leone"
2,"Statistical Performance Indicators (SPI)","TON","Tonga","TON","Tonga"
2,"Statistical Performance Indicators (SPI)","SWZ","Eswatini","SWZ","Eswatini"
2,"Statistical Performance Indicators (SPI)","LAO","Lao PDR","LAO","Laos"
2,"Statistical Performance Indicators (SPI)","NGA","Nigeria","NGA","Nigeria"
2,"Statistical Performance Indicators (SPI)","FJI","Fiji","FJI","Fiji"
2,"Statistical Performance Indicators (SPI)","MOZ","Mozambique","MOZ","Mozambique"
2,"Statistical Performance Indicators (SPI)","ETH","Ethiopia","ETH","Ethiopia"
2,"Statistical Performance Indicators (SPI)","CPV","Cabo Verde","CPV","Cape Verde"
2,"Statistical Performance Indicators (SPI)","CHN","China","CHN","China"
2,"Statistical Performance Indicators (SPI)","NAM","Namibia","NAM","Namibia"
2,"Statistical Performance Indicators (SPI)","CMR","Cameroon","CMR","Cameroon"
2,"Statistical Performance Indicators (SPI)","OMN","Oman","OMN","Oman"
2,"Statistical Performance Indicators (SPI)","LBN","Lebanon","LBN","Lebanon"
2,"Statistical Performance Indicators (SPI)","GUY","Guyana","GUY","Guyana"
2,"Statistical Performance Indicators (SPI)","LSO","Lesotho","LSO","Lesotho"
2,"Statistical Performance Indicators (SPI)","IRQ","Iraq","IRQ","Iraq"
2,"Statistical Performance Indicators (SPI)","SUR","Suriname","SUR","Suriname"
2,"Statistical Performance Indicators (SPI)","AFG","Afghanistan","AFG","Afghanistan"
2,"Statistical Performance Indicators (SPI)","TCD","Chad","TCD","Chad"
2,"Statistical Performance Indicators (SPI)","TTO","Trinidad and Tobago","TTO","Trinidad & Tobago"
2,"Statistical Performance Indicators (SPI)","ATG","Antigua and Barbuda","ATG","Antigua & Barbuda"
2,"Statistical Performance Indicators (SPI)","PLW","Palau","PLW","Palau"
2,"Statistical Performance Indicators (SPI)","NIC","Nicaragua","NIC","Nicaragua"
2,"Statistical Performance Indicators (SPI)","MDG","Madagascar","MDG","Madagascar"
2,"Statistical Performance Indicators (SPI)","STP","Sao Tome and Principe","STP","São Tomé & Príncipe"
2,"Statistical Performance Indicators (SPI)","COD","Congo, Dem. Rep.","COD","Congo (Kinshasa)"
2,"Statistical Performance Indicators (SPI)","VCT","St. Vincent and the Grenadines","VCT","St. Vincent & Grenadines"
2,"Statistical Performance Indicators (SPI)","BHR","Bahrain","BHR","Bahrain"
2,"Statistical Performance Indicators (SPI)","VUT","Vanuatu","VUT","Vanuatu"
2,"Statistical Performance Indicators (SPI)","BHS","Bahamas, The","BHS","Bahamas"
2,"Statistical Performance Indicators (SPI)","SOM","Somalia","SOM","Somalia"
2,"Statistical Performance Indicators (SPI)","GIN","Guinea","GIN","Guinea"
2,"Statistical Performance Indicators (SPI)","KIR","Kiribati","KIR","Kiribati"
