"dataset_id","dataset_name","original_code","original_name","reason"
4,"Sustainable Development Goals (Raw Indicators)",NA,"High-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"High-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"High-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"High-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"High-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"High-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"High-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Latin America and the Caribbean","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Latin America and the Caribbean","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Latin America and the Caribbean","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Latin America and the Caribbean","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Latin America and the Caribbean","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Latin America and the Caribbean","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Latin America and the Caribbean","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Latin America and the Caribbean","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Latin America and the Caribbean","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Latin America and the Caribbean","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Low-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Low-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Low-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Low-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Low-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Low-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Low-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Low-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Low-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Low-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Lower-middle-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Lower-middle-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Lower-middle-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Lower-middle-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Lower-middle-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Lower-middle-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Lower-middle-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Lower-middle-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Lower-middle-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Lower-middle-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Middle East and North Africa","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Middle East and North Africa","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Middle East and North Africa","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Middle East and North Africa","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Middle East and North Africa","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Middle East and North Africa","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Middle East and North Africa","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Middle East and North Africa","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Middle East and North Africa","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Middle East and North Africa","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"OECD members","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"OECD members","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"OECD members","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"OECD members","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"OECD members","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"OECD members","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"OECD members","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"OECD members","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"OECD members","Could not map country name to standard code"
